fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2001-06-28,3.9638,7.019,26.23
2001-06-29,3.1709,6.8654,25.35
2001-06-30,2.9383,6.863,24.65
2001-07-01,4.3291,6.9679,24.62
2001-07-02,4.3536,7.0034,25.18
2001-07-03,4.5624,7.0615,25.7
2001-07-04,4.0903,7.1006,25.72
2001-07-05,2.9986,6.8129,25.46
2001-07-06,4.4786,6.9778,24.6
2001-07-07,4.4614,7.0673,25.46
2001-07-08,4.1868,6.971,24.97
2001-07-09,3.9917,7.085,24.12
2001-07-10,3.5138,7.0622,24.42
2001-07-11,4.385,7.0315,24.85
2001-07-12,3.9187,7.0853,24.82
2001-07-13,4.7196,7.1076,25.85
2001-07-14,3.0953,6.977,24.74
2001-07-15,4.2074,7.0414,24.17
2001-07-16,5.5262,7.1326,25.57
2001-07-17,4.1359,7.1201,26.79
2001-07-18,5.19,7.1292,25.1
2001-07-19,4.5854,7.1798,24.08
2001-07-20,4.2619,7.0999,23.63
2001-07-21,3.9024,7.1124,24.68
2001-07-22,4.6207,7.0344,24.18
2001-07-23,4.5636,7.1364,24.04
2001-07-24,5.286,7.0838,24.72
2001-07-25,4.9409,7.1971,24.83
2001-07-26,4.152,7.0752,24.81
2001-07-27,4.5715,7.2139,23.91
2001-07-28,5.0179,7.1201,25.08
2001-07-29,5.4118,7.1676,26.31
2001-07-30,4.0586,6.8964,25.34
2001-07-31,4.9567,6.888,24.85
2001-08-01,4.9433,7.1018,25.56
2001-08-02,4.7179,7.2773,25.03
2001-08-03,4.9094,7.0913,25.37
2001-08-04,3.5597,7.1839,24.56
2001-08-05,4.5014,7.0466,25.3
2001-08-06,4.5929,7.145,26.11
2001-08-07,4.4914,7.2305,25.27
2001-08-08,5.1221,7.0692,24.85
2001-08-09,4.818,7.0786,25.14
2001-08-10,5.2687,7.1813,24.95
2001-08-11,3.7901,7.1232,25.47
2001-08-12,5.1346,7.2108,26.36
2001-08-13,3.3854,7.1371,26.27
2001-08-14,4.7486,7.0322,26.11
2001-08-15,4.2924,6.9626,26.04
2001-08-16,4.3882,6.9012,25.48
2001-08-17,4.9394,7.0051,26.24
2001-08-18,4.1686,7.0474,25.85
2001-08-19,4.4614,7.0001,25.51
2001-08-20,4.4753,7.1417,25.72
2001-08-21,4.6368,7.2214,25.46
2001-08-22,5.2382,7.0488,24.75
2001-08-23,3.8203,7.1143,24.94
2001-08-24,4.7345,7.133,25.94
2001-08-25,4.4179,7.1938,24.49
2001-08-26,4.7242,7.0951,24.88
2001-08-27,5.2505,7.3541,25.16
2001-08-28,4.4405,7.2814,25.4
2001-08-29,5.4125,7.3298,25.26
2001-08-30,5.6518,7.4314,25.73
2001-08-31,5.2572,7.3114,25.72
2001-09-01,4.6481,7.1616,25.24
2001-09-02,2.617,7.0764,24.65
2001-09-03,4.5852,7.2283,24.71
2001-09-04,4.1719,7.1834,24.04
2001-09-05,4.307,7.3212,23.62
2001-09-06,4.5024,7.1822,24.15
2001-09-07,5.2838,7.2703,24.87
2001-09-08,4.3999,7.3822,24.74
2001-09-09,4.3822,7.219,24.41
2001-09-10,4.6848,7.2994,24.71
2001-09-11,5.2006,7.1858,24.68
2001-09-12,2.8512,7.0862,23.99
2001-09-13,4.4926,7.2259,24.12
2001-09-14,4.7232,7.3094,24.66
2001-09-15,5.1122,7.4105,23.34
2001-09-16,4.9238,7.4443,25.27
2001-09-17,4.7741,7.3289,25.97
2001-09-18,4.4537,7.2768,24.51
2001-09-19,4.5518,7.1208,24.09
2001-09-20,4.6776,7.0999,24.62
2001-09-21,4.3169,7.1172,24.91
2001-09-22,4.0646,7.1724,24.45
2001-09-23,4.2094,7.177,24.27
2001-09-24,4.7246,7.3097,23.62
2001-09-25,4.8214,7.2374,25.01
2001-09-26,4.8895,7.2701,25.18
2001-09-27,2.6738,7.2103,24.55
2001-09-28,4.9481,7.1618,23.99
2001-09-29,5.2006,7.002,24.0
2001-09-30,3.265,7.2235,24.36
2001-10-01,4.0171,7.2096,25.64
2001-10-02,4.853,7.1712,25.74
2001-10-03,5.1686,7.0735,25.87
2001-10-04,4.7688,6.8208,25.06
2001-10-05,4.8672,7.0848,24.72
2001-10-06,4.3039,7.175,24.65
2001-10-07,4.2614,7.129,24.79
2001-10-08,4.0195,7.1532,25.19
2001-10-09,4.2739,7.0282,25.11
2001-10-10,2.7017,6.9722,25.15
2001-10-11,4.71,6.8933,24.61
2001-10-12,4.3435,6.9413,26.0
2001-10-13,3.085,6.8086,25.1
2001-10-14,4.1436,6.8153,25.06
2001-10-15,4.9766,6.9775,24.98
2001-10-16,2.8176,7.0565,24.7
2001-10-17,4.3279,6.8626,23.3
2001-10-18,5.6112,6.9146,24.3
2001-10-19,4.9267,6.8971,25.41
2001-10-20,4.5576,6.923,25.15
2001-10-21,4.4854,6.8184,24.27
2001-10-22,4.4436,6.8033,23.91
2001-10-23,2.9472,6.8741,24.3
2001-10-24,4.5713,6.7339,24.48
2001-10-25,4.1237,6.7555,25.9
2001-10-26,3.8119,6.6559,25.68
2001-10-27,4.4261,6.5762,25.05
2001-10-28,4.6159,6.8189,24.86
2001-10-29,5.2733,6.8525,25.29
