fecha,obs,pred_gbm
2026-05-14,24.64,27.879340776429306
2026-05-15,46.26,26.628098306044834
2026-05-16,13.9,25.525871042141365
2026-05-17,22.17,38.33026050559047
2026-05-18,31.83,28.16340061543796
2026-05-19,15.87,28.113778411973602
2026-05-20,22.66,35.908799491962384
2026-05-21,17.56,34.00637270815512
2026-05-22,21.96,28.1153748357719
2026-05-23,30.34,19.771379482352554
2026-05-24,18.62,28.319398257887578
2026-05-25,21.24,39.67311990044169
2026-05-26,22.38,29.844081443844928
2026-05-27,19.92,27.63034862322209
2026-05-28,13.19,25.114929020557756
2026-05-29,18.04,25.04703100847122
2026-05-30,18.73,22.334027484930633
2026-05-31,28.0,21.839914543418452
2026-06-01,10.58,21.287166310343327
2026-06-02,24.96,24.819447262910334
2026-06-03,24.96,18.84809513042085
2026-06-04,47.13,23.58003760135208
2026-06-05,31.07,24.08988817253552
2026-06-06,58.53,50.88062764671511
2026-06-07,82.71,66.5826262296199
2026-06-08,45.78,60.95198609821548
2026-06-09,40.89,67.98223405166794
2026-06-10,19.75,51.12178707782594
2026-06-11,26.44,42.31219364620992
2026-06-12,26.44,32.12670894823249
2026-06-13,43.41,32.41467463493328
2026-06-14,17.39,30.307992708682896
2026-06-15,16.06,38.30369282872076
2026-06-16,19.75,33.64454676567639
2026-06-17,17.33,26.655103519623907
2026-06-18,62.8,32.50999810034559
2026-06-19,37.02,36.458340498211776
2026-06-20,79.39,40.44183293559746
2026-06-21,37.41,51.23195700133968
2026-06-22,83.0,37.87902910648189
2026-06-23,21.7,43.14674300603062
2026-06-24,40.52,31.958523684057074
2026-06-25,42.87,33.25024937866528
2026-06-26,40.5,28.323526185071064
2026-06-27,25.42,29.666834985087704
2026-06-28,17.45,26.387654150668894
2026-06-29,17.65,24.28140251364745
2026-06-30,11.76,18.833284578871844
2026-07-01,12.88,19.89358106849203
2026-07-02,11.74,20.248230496117454
2026-07-03,10.21,21.406478112623844
2026-07-04,14.09,17.90562139655584
2026-07-05,34.22,18.86075707784969
2026-07-06,12.69,17.453173868592174
2026-07-07,10.76,26.38387808348106
2026-07-08,17.6,22.52301164146841
2026-07-09,11.63,19.18854813623259
2026-07-10,13.9,18.93587380129901
2026-07-11,18.51,18.36651577594326
2026-07-12,13.72,26.303689062462784
2026-07-13,16.35,20.42768765850664
2026-07-14,9.14,21.03864055082676
2026-07-15,15.52,23.494398099804524
2026-07-16,8.91,18.00643964148689
2026-07-17,8.66,19.289512798235773
2026-07-18,10.83,20.787056758865923
2026-07-19,22.91,24.537752519998453
2026-07-20,19.54,38.485502417215265
2026-07-21,10.06,46.65875433078734
2026-07-22,48.66,39.511258425758875
2026-07-23,26.57,41.73390297569674
2026-07-24,15.09,40.214642846665384
2026-07-25,29.19,27.96390916573038
2026-07-26,21.22,25.160912845860533
2026-07-27,6.99,28.099992023926646
2026-07-28,30.98,19.24917501619403
2026-07-29,10.97,21.44084527339715
2026-07-30,9.99,30.17605954595222
2026-07-31,9.23,20.021842198043892
2026-08-01,15.97,19.353129736837555
2026-08-02,9.69,16.997524952199385
2026-08-03,15.55,18.041566526459064
2026-08-04,19.84,17.178747698409502
2026-08-05,16.38,20.854847308139973
2026-08-06,15.89,19.721287777072632
2026-08-07,16.78,19.16282297735519
2026-08-08,34.32,19.257201380698277
2026-08-09,13.05,19.90495500959203
2026-08-10,17.68,31.102544989695392
2026-08-11,16.52,20.17476336778882
2026-08-12,15.84,20.31818719775557
2026-08-13,10.35,17.603016356584202
2026-08-14,16.87,21.692682451482806
2026-08-15,35.35,21.844243246134617
2026-08-16,47.7,27.03252178692798
2026-08-17,14.72,48.1871259083949
2026-08-18,26.61,41.76107758597432
2026-08-19,10.29,30.40886534902621
2026-08-20,16.06,23.83991045816057
2026-08-21,12.24,17.2348342330011
2026-08-22,13.69,18.69547582753895
2026-08-23,21.26,18.1606570136254
2026-08-24,9.43,18.27339967404923
2026-08-25,14.14,22.64546623317638
2026-08-26,13.9,19.611880315788984
2026-08-27,36.56,21.65470364332963
2026-08-28,48.95,18.173115007576897
2026-08-29,33.49,38.37716373511931
2026-08-30,16.81,39.87205718373854
