fecha,obs,pred_persistencia,pred_climatologia
2026-05-02,46.39,31.3,34.76977112676057
2026-05-03,24.47,46.39,34.7833939038687
2026-05-04,25.35,24.47,34.77131733021078
2026-05-05,19.32,25.35,34.76029824561404
2026-05-06,27.07,19.32,34.74226051401869
2026-05-07,22.23,27.07,34.73330805134189
2026-05-08,12.76,22.23,34.71873543123543
2026-05-09,20.9,12.76,34.69317229336438
2026-05-10,29.92,20.9,34.67713372093023
2026-05-11,17.42,29.92,34.67160859465738
2026-05-12,21.79,17.42,34.65159512761021
2026-05-13,13.54,21.79,34.636691772885285
2026-05-14,16.49,13.54,34.61227430555556
2026-05-15,24.64,16.49,34.59132369942196
2026-05-16,46.26,24.64,34.579832563510394
2026-05-17,13.9,46.26,34.593304498269895
2026-05-18,22.17,13.9,34.56946428571428
2026-05-19,31.83,22.17,34.55519562715765
2026-05-20,15.87,31.83,34.5520632183908
2026-05-21,22.66,15.87,34.53061423650976
2026-05-22,17.56,22.66,34.51700114678899
2026-05-23,21.96,17.56,34.49757731958763
2026-05-24,30.34,21.96,34.483232265446226
2026-05-25,18.62,30.34,34.478497142857144
2026-05-26,21.24,18.62,34.460393835616436
2026-05-27,22.38,21.24,34.44531927023945
2026-05-28,19.92,22.38,34.43157744874715
2026-05-29,13.19,19.92,34.41506825938567
2026-05-30,18.04,13.19,34.39094886363636
2026-05-31,18.73,18.04,34.37238933030647
2026-06-01,28.0,18.73,34.354654195011335
2026-06-02,10.58,28.0,34.34745753114383
2026-06-03,24.96,10.58,34.32057126696832
2026-06-04,24.96,24.96,34.30999435028249
2026-06-05,47.13,24.96,34.29944130925508
2026-06-06,31.07,47.13,34.31390642615558
2026-06-07,58.53,31.07,34.31025337837838
2026-06-08,82.71,58.53,34.33749718785152
2026-06-09,45.78,82.71,34.39184831460674
2026-06-10,40.89,45.78,34.40462962962963
2026-06-11,19.75,40.89,34.411900224215245
2026-06-12,26.44,19.75,34.39548152295633
2026-06-13,26.44,26.44,34.38658277404922
2026-06-14,43.41,26.44,34.37770391061452
2026-06-15,17.39,43.41,34.38778459821429
2026-06-16,16.06,17.39,34.368835005574134
2026-06-17,19.75,16.06,34.34844654788419
2026-06-18,17.33,19.75,34.332208008898775
2026-06-19,62.8,17.33,34.313316666666665
2026-06-20,37.02,62.8,34.34493340732519
2026-06-21,79.39,37.02,34.34789911308204
2026-06-22,37.41,79.39,34.3977796234773
2026-06-23,83.0,37.41,34.40111172566372
2026-06-24,21.7,83.0,34.454812154696135
2026-06-25,40.52,21.7,34.44073399558499
2026-06-26,42.87,40.52,34.44743660418964
2026-06-27,40.5,42.87,34.456712555066076
2026-06-28,25.42,40.5,34.46336083608361
2026-06-29,17.45,25.42,34.45342307692308
2026-06-30,17.65,17.45,34.434758507135015
2026-07-01,11.76,17.65,34.416354166666665
2026-07-02,12.88,11.76,34.39153888280394
2026-07-03,11.74,12.88,34.36800328227571
2026-07-04,10.21,11.74,34.34327322404372
2026-07-05,14.09,10.21,34.3169268558952
2026-07-06,34.22,14.09,34.294869138495095
2026-07-07,12.69,34.22,34.294787581699346
2026-07-08,10.76,12.69,34.271278563656146
2026-07-09,17.6,10.76,34.245722826086954
2026-07-10,11.63,17.6,34.22764929424539
2026-07-11,13.9,11.63,34.2031399132321
2026-07-12,18.51,13.9,34.18114301191766
2026-07-13,13.72,18.51,34.164182900432905
2026-07-14,16.35,13.72,34.14208108108108
2026-07-15,9.14,16.35,34.12286717062635
2026-07-16,15.52,9.14,34.09591693635383
2026-07-17,8.91,15.52,34.07589978448276
2026-07-18,8.66,8.91,34.04881054897739
2026-07-19,10.83,8.66,34.02151075268817
2026-07-20,22.91,10.83,33.99660042964554
2026-07-21,19.54,22.91,33.98470493562232
2026-07-22,10.06,19.54,33.96922293676313
2026-07-23,48.66,10.06,33.943624197002144
2026-07-24,26.57,48.66,33.95936363636364
2026-07-25,15.09,26.57,33.95146901709402
2026-07-26,29.19,15.09,33.931339381003205
2026-07-27,21.22,29.19,33.92628464818763
2026-07-28,6.99,21.22,33.9127529286475
2026-07-29,30.98,6.99,33.88411170212766
2026-07-30,10.97,30.98,33.881025504782144
2026-07-31,9.99,10.97,33.85670382165605
2026-08-01,9.23,9.99,33.83139448568399
2026-08-02,15.97,9.23,33.805333686440676
2026-08-03,9.69,15.97,33.78646031746032
2026-08-04,15.55,9.69,33.760988372093024
2026-08-05,19.84,15.55,33.74175818373812
2026-08-06,16.38,19.84,33.72709388185654
2026-08-07,15.89,16.38,33.708814541622765
2026-08-08,16.78,15.89,33.690057894736846
2026-08-09,34.32,16.78,33.672276550998944
2026-08-10,13.05,34.32,33.67295693277311
2026-08-11,17.68,13.05,33.65131689401889
2026-08-12,16.52,17.68,33.63457547169811
2026-08-13,15.84,16.52,33.61665445026178
2026-08-14,10.35,15.84,33.59805962343096
2026-08-15,16.87,10.35,33.57376698014629
2026-08-16,35.35,16.87,33.556330897703546
2026-08-17,47.7,35.35,33.55820125130344
2026-08-18,14.72,47.7,33.57293229166667
2026-08-19,26.61,14.72,33.55331425598335
2026-08-20,10.29,26.61,33.54609667359667
2026-08-21,16.06,10.29,33.52194704049844
2026-08-22,12.24,16.06,33.50383298755187
2026-08-23,13.69,12.24,33.481797927461145
2026-08-24,21.26,13.69,33.461309523809526
2026-08-25,9.43,21.26,33.448691830403305
2026-08-26,14.14,9.43,33.423879132231406
2026-08-27,13.9,14.14,33.40397832817337
2026-08-28,36.56,13.9,33.383871134020616
2026-08-29,48.95,36.56,33.3871421215242
2026-08-30,33.49,48.95,33.403153292181074
2026-08-31,16.81,33.49,33.403242548818085
