fecha,objetivo_t1,evento,pred_evento,pred_persistencia,pred_hurdle
2022-04-26,41.201,0,0,43.714,43.714
2022-04-27,33.57,0,0,41.201,41.201
2022-04-28,30.691,0,0,33.57,33.57
2022-04-29,23.193,0,0,30.691,30.691
2022-04-30,27.497,0,0,23.193,23.193
2022-05-01,27.961,0,0,27.497,27.497
2022-05-02,20.15,0,0,27.961,27.961
2022-05-03,20.9,0,0,20.15,20.15
2022-05-04,38.429,0,0,20.9,20.9
2022-05-05,36.931,0,0,38.429,38.429
2022-05-06,36.914,0,0,36.931,36.931
2022-05-07,19.276,0,0,36.914,36.914
2022-05-08,22.004,0,0,19.276,19.276
2022-05-09,57.267,0,0,22.004,22.004
2022-05-10,54.45,0,0,57.267,57.267
2022-05-11,38.658,0,0,54.45,54.45
2022-05-12,24.481,0,0,38.658,38.658
2022-05-13,34.735,0,0,24.481,24.481
2022-05-14,38.646,0,0,34.735,34.735
2022-05-15,69.959,0,0,38.646,38.646
2022-05-16,25.617,1,0,69.959,69.959
2022-05-17,30.133,0,0,25.617,25.617
2022-05-18,27.22,0,0,30.133,30.133
2022-05-19,25.539,0,0,27.22,27.22
2022-05-20,27.36,0,0,25.539,25.539
2022-05-21,18.312,0,0,27.36,27.36
2022-05-22,37.602,0,0,18.312,18.312
2022-05-23,26.221,0,0,37.602,37.602
2022-05-24,29.749,0,0,26.221,26.221
2022-05-25,10.026,0,0,29.749,29.749
2022-05-26,19.421,0,0,10.026,10.026
2022-05-27,22.545,0,0,19.421,19.421
2022-05-28,25.499,0,0,22.545,22.545
2022-05-29,58.787,0,0,25.499,25.499
2022-05-30,28.561,0,0,58.787,58.787
2022-05-31,58.083,0,0,28.561,28.561
2022-06-01,103.652,1,0,58.083,58.083
2022-06-02,43.428,1,1,103.652,41.605511610584905
2022-06-03,39.737,0,0,43.428,43.428
2022-06-04,22.974,0,0,39.737,39.737
2022-06-05,68.069,1,0,22.974,22.974
2022-06-06,66.211,0,0,68.069,68.069
2022-06-07,31.585,0,0,66.211,66.211
2022-06-08,37.822,0,0,31.585,31.585
2022-06-09,34.739,0,0,37.822,37.822
2022-06-10,100.684,1,0,34.739,34.739
2022-06-11,35.362,1,1,100.684,36.37729706905791
2022-06-12,30.927,0,0,35.362,35.362
2022-06-13,43.161,0,0,30.927,30.927
2022-06-14,68.879,0,0,43.161,43.161
2022-06-15,47.408,0,0,68.879,68.879
2022-06-16,70.606,0,0,47.408,47.408
2022-06-17,83.729,0,0,70.606,70.606
2022-06-18,62.663,0,0,83.729,83.729
2022-06-19,45.432,0,0,62.663,62.663
2022-06-20,28.498,0,0,45.432,45.432
2022-06-21,67.102,1,0,28.498,28.498
2022-06-22,41.839,0,0,67.102,67.102
2022-06-23,26.587,0,0,41.839,41.839
