fecha,allsky_sfc_sw_dwn,clrsky_sfc_sw_dwn,t2m
2000-11-06,4.8422,6.6125,20.5
2000-11-07,4.9879,6.8162,19.9
2000-11-08,4.7839,6.6259,19.3
2000-11-09,4.6097,6.5974,19.43
2000-11-10,4.319,6.9521,19.75
2000-11-11,3.7606,6.8962,19.13
2000-11-12,5.0215,6.8378,18.69
2000-11-13,4.4688,6.9487,18.87
2000-11-14,5.3004,6.7884,18.81
2000-11-15,4.9968,6.7126,19.1
2000-11-16,4.7556,6.6562,19.6
2000-11-17,4.8526,6.6602,19.23
2000-11-18,3.5234,6.953,18.94
2000-11-19,4.4887,6.6305,19.91
2000-11-20,5.1374,6.6091,19.95
2000-11-21,6.3602,6.9974,19.73
2000-11-22,5.6978,6.9504,18.76
2000-11-23,4.8562,6.6686,19.12
2000-11-24,4.8492,6.6305,20.31
2000-11-25,5.4684,6.8081,20.72
2000-11-26,5.3808,6.8078,20.53
2000-11-27,4.2881,6.6782,20.24
2000-11-28,4.709,6.6919,20.02
2000-11-29,4.0682,6.5731,19.9
2000-11-30,5.5565,6.6338,20.25
2000-12-01,4.8646,6.4027,20.11
2000-12-02,4.5569,6.6761,20.45
2000-12-03,3.5642,6.4622,20.08
2000-12-04,3.9869,6.3535,19.57
2000-12-05,4.4899,6.1994,18.72
2000-12-06,3.672,6.7457,20.42
2000-12-07,4.2998,6.4306,19.99
2000-12-08,4.6817,6.4178,20.78
2000-12-09,5.6662,6.6115,20.35
2000-12-10,4.2835,6.372,20.55
2000-12-11,3.6127,6.7039,20.56
2000-12-12,4.8098,6.4946,20.33
2000-12-13,4.9186,6.3761,19.63
2000-12-14,3.9427,6.3235,18.56
2000-12-15,3.9178,6.3902,18.33
2000-12-16,4.2708,6.4831,17.29
2000-12-17,4.603,6.3662,18.08
2000-12-18,3.6998,6.1822,18.68
2000-12-19,2.3724,6.5621,17.62
2000-12-20,3.6566,6.324,18.43
2000-12-21,4.6296,6.4135,19.74
2000-12-22,5.3832,6.395,20.41
2000-12-23,5.3995,6.449,20.3
2000-12-24,4.5972,6.3187,20.7
2000-12-25,2.916,6.5933,19.74
2000-12-26,5.3688,6.5501,20.32
2000-12-27,2.3366,6.605,20.02
